2 3 1  
3 3 0 duplicate
3 1 1 duplicate
4 2 0 duplicate
4 0 1 duplicate
5 1 0 duplicate
5 2 1 duplicate
6 0 0 duplicate
6 3 1 duplicate
7 3 0 duplicate
7 1 1 duplicate
8 2 0 duplicate
8 0 1 duplicate
9 1 0 duplicate
9 2 1 duplicate
10 0 0 duplicate
10 3 1 duplicate
11 3 0 duplicate
11 1 1 duplicate
12 2 0 duplicate
12 0 1 duplicate
13 1 0 duplicate
13 2 1 duplicate
14 0 0 duplicate
14 3 1 duplicate
15 3 0 duplicate
15 1 1 duplicate
16 2 0 duplicate
16 0 1 duplicate
17 1 0 duplicate
17 2 1 duplicate
18 0 0 duplicate
18 3 1 duplicate
19 3 0 duplicate
19 1 1 duplicate
20 2 0 duplicate
20 0 1 duplicate
21 1 0 duplicate
21 2 1 duplicate
22 0 0 duplicate
22 3 1 duplicate
23 3 0 duplicate
23 1 1 duplicate
24 2 0 duplicate
24 0 1 duplicate
25 1 0 duplicate
25 2 1 duplicate
26 0 0 duplicate
26 3 1 duplicate
27 3 0 duplicate
27 1 1 duplicate
28 2 0 duplicate
28 0 1 duplicate
29 1 0 duplicate
29 2 1 duplicate
30 0 0 duplicate
30 3 1 duplicate
31 3 0 duplicate
31 1 1 duplicate
32 2 0 duplicate
32 0 1 duplicate
33 1 0 duplicate
33 2 1 duplicate
34 0 0 duplicate
34 3 1 duplicate
35 3 0 duplicate
35 1 1 duplicate
36 2 0 duplicate
36 0 1 duplicate
37 1 0 duplicate
37 2 1 duplicate
38 0 0 duplicate
38 3 1 duplicate
39 3 0 duplicate
39 1 1 duplicate
40 2 0 duplicate
40 0 1 duplicate
41 1 0 duplicate
41 2 1 duplicate
42 0 0 duplicate
42 3 1 duplicate
43 3 0 duplicate
43 1 1 duplicate
44 2 0 duplicate
44 0 1 duplicate
45 1 0 duplicate
45 2 1 duplicate
46 0 0 duplicate
46 3 1 duplicate
47 3 0 duplicate
47 1 1 duplicate
48 2 0 duplicate
