['2013', '07', '02', '04', '30', '00', '0.701440', '0']
['2013', '07', '02', '04', '30', '01', '0.708096', '0']
['2013', '07', '02', '04', '30', '02', '0.714496', '0']
['2013', '07', '02', '04', '30', '03', '0.721152', '0']
['2013', '07', '02', '04', '30', '04', '0.727808', '0']
['2013', '07', '02', '04', '30', '05', '0.734464', '0']
['2013', '07', '02', '04', '30', '06', '0.741120', '0']
['2013', '07', '02', '04', '30', '07', '0.747776', '0']
['2013', '07', '02', '04', '30', '08', '0.754432', '0']
['2013', '07', '02', '04', '30', '09', '0.761088', '0']
['2013', '07', '02', '04', '30', '10', '0.767744', '0']
['2013', '07', '02', '04', '30', '11', '0.774400', '0']
['2013', '07', '02', '04', '30', '12', '0.781056', '0']
['2013', '07', '02', '04', '30', '13', '0.787456', '0']
['2013', '07', '02', '04', '30', '14', '0.794112', '0']
['2013', '07', '02', '04', '30', '15', '0.800768', '0']
['2013', '07', '02', '04', '30', '16', '0.807424', '0']
['2013', '07', '02', '04', '30', '17', '0.814080', '0']
['2013', '07', '02', '04', '30', '18', '0.820736', '0']
['2013', '07', '02', '04', '30', '19', '0.827392', '0']
['2013', '07', '02', '04', '30', '20', '0.834048', '0']
['2013', '07', '02', '04', '30', '21', '0.840704', '0']
['2013', '07', '02', '04', '30', '22', '0.847360', '0']
['2013', '07', '02', '04', '30', '23', '0.854016', '0']
['2013', '07', '02', '04', '30', '24', '0.860416', '0']
['2013', '07', '02', '04', '30', '25', '0.867072', '0']
['2013', '07', '02', '04', '30', '26', '0.873728', '0']
['2013', '07', '02', '04', '30', '27', '0.880384', '0']
['2013', '07', '02', '04', '30', '28', '0.887040', '0']
['2013', '07', '02', '04', '30', '29', '0.893696', '0']
['2013', '07', '02', '04', '30', '30', '0.900352', '0']
['2013', '07', '02', '04', '30', '31', '0.907008', '0']
['2013', '07', '02', '04', '30', '32', '0.913664', '0']
['2013', '07', '02', '04', '30', '33', '0.920320', '0']
['2013', '07', '02', '04', '30', '34', '0.926976', '0']
['2013', '07', '02', '04', '30', '35', '0.933376', '0']
['2013', '07', '02', '04', '30', '36', '0.940032', '0']
['2013', '07', '02', '04', '30', '37', '0.946688', '0']
['2013', '07', '02', '04', '30', '38', '0.953344', '0']
['2013', '07', '02', '04', '30', '39', '0.960000', '0']
['2013', '07', '02', '04', '30', '40', '0.966656', '0']
['2013', '07', '02', '04', '30', '41', '0.973312', '0']
['2013', '07', '02', '04', '30', '42', '0.979968', '0']
['2013', '07', '02', '04', '30', '43', '0.986624', '0']
['2013', '07', '02', '04', '30', '44', '0.993280', '0']
['2013', '07', '02', '04', '30', '46', '0.000000', '0']
['2013', '07', '02', '04', '30', '47', '0.006400', '0']
['2013', '07', '02', '04', '30', '48', '0.013056', '0']
['2013', '07', '02', '04', '30', '49', '0.019712', '0']
['2013', '07', '02', '04', '30', '50', '0.026368', '0']
['2013', '07', '02', '04', '30', '51', '0.033024', '0']
['2013', '07', '02', '04', '30', '52', '0.039680', '0']
['2013', '07', '02', '04', '30', '53', '0.046336', '0']
['2013', '07', '02', '04', '30', '54', '0.052736', '0']
['2013', '07', '02', '04', '30', '55', '0.059392', '0']
['2013', '07', '02', '04', '30', '56', '0.066048', '0']
['2013', '07', '02', '04', '30', '57', '0.072704', '0']
['2013', '07', '02', '04', '30', '58', '0.079360', '0']
['2013', '07', '02', '04', '30', '59', '0.086016', '0']
['2013', '07', '02', '04', '31', '00', '0.092672', '0']
['2013', '07', '02', '04', '31', '01', '0.099328', '0']
['2013', '07', '02', '04', '31', '02', '0.357376', '0']
['2013', '07', '02', '04', '31', '03', '0.615936', '0']
['2013', '07', '02', '04', '31', '04', '0.622592', '0']
['2013', '07', '02', '04', '31', '05', '0.629248', '0']
['2013', '07', '02', '04', '31', '06', '0.887296', '0']
['2013', '07', '02', '04', '31', '08', '0.145664', '0']
['2013', '07', '02', '04', '31', '09', '0.152320', '0']
['2013', '07', '02', '04', '31', '10', '0.158976', '0']
['2013', '07', '02', '04', '31', '11', '0.165632', '0']
['2013', '07', '02', '04', '31', '12', '0.172288', '0']
['2013', '07', '02', '04', '31', '13', '0.178944', '0']
['2013', '07', '02', '04', '31', '14', '0.185600', '0']
['2013', '07', '02', '04', '31', '15', '0.192256', '0']
['2013', '07', '02', '04', '31', '16', '0.198912', '0']
['2013', '07', '02', '04', '31', '17', '0.205312', '0']
['2013', '07', '02', '04', '31', '18', '0.211968', '0']
['2013', '07', '02', '04', '31', '19', '0.218624', '0']
['2013', '07', '02', '04', '31', '20', '0.225280', '0']
['2013', '07', '02', '04', '31', '21', '0.231936', '0']
['2013', '07', '02', '04', '31', '22', '0.238592', '0']
['2013', '07', '02', '04', '31', '23', '0.245248', '0']
['2013', '07', '02', '04', '31', '24', '0.251904', '0']
['2013', '07', '02', '04', '31', '25', '0.258560', '0']
['2013', '07', '02', '04', '31', '26', '0.265216', '0']
['2013', '07', '02', '04', '31', '27', '0.271872', '0']
['2013', '07', '02', '04', '31', '28', '0.278528', '0']
['2013', '07', '02', '04', '31', '29', '0.285184', '0']
['2013', '07', '02', '04', '31', '30', '0.291584', '0']
['2013', '07', '02', '04', '31', '31', '0.298240', '0']
['2013', '07', '02', '04', '31', '32', '0.304896', '0']
['2013', '07', '02', '04', '31', '33', '0.311552', '0']
['2013', '07', '02', '04', '31', '34', '0.318208', '0']
['2013', '07', '02', '04', '31', '35', '0.324864', '0']
['2013', '07', '02', '04', '31', '36', '0.331520', '0']
['2013', '07', '02', '04', '31', '37', '0.338176', '0']
['2013', '07', '02', '04', '31', '38', '0.344576', '0']
['2013', '07', '02', '04', '31', '39', '0.351232', '0']
['2013', '07', '02', '04', '31', '40', '0.357888', '0']
['2013', '07', '02', '04', '31', '41', '0.364544', '0']
['2013', '07', '02', '04', '31', '42', '0.371200', '0']
['2013', '07', '02', '04', '31', '43', '0.377856', '0']
