2013-05-17 01:28:08.052
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.102209207	108.082681899	-214.30098795
2	528.196186393	145.863133184	-416.369788599
3	845.088396927	97.5828536591	-654.336618455
4	992.171243889	153.765831556	-766.798539673
5	425.282156154	380.699730066	-339.415802055
6	505.943498485	378.352182236	-403.283198061
7	229.732045517	486.519642748	-190.511796704
8	464.797481196	290.21294398	-368.865004602
9	529.669325307	785.163939788	-431.471551305
10	921.068241613	619.254510007	-731.630817236
11	259.387101135	752.646861452	-221.854032445
12	776.089444665	1442.4744939	-644.266644111
13	754.42950485	902.589619475	-613.180054248
14	1870.80849924	-74.8283571877	-1452.33500441
15	3200.7619981	-558.237081111	-2469.56339489
16	5130.13317742	-1567.56907584	-3925.52690214
17	7011.74102053	-3345.34153064	-5316.53684495
18	8451.78750885	-5914.89310744	-6296.44949708
19	11100.9515318	-6286.82344973	-8317.23724262
20	-1388.88162379	-1518.76532301	1166.71431881
21	-2496.7673968	-2955.16837545	2115.03455818
22	-4722.86427158	-4724.84980388	3913.32846402
23	-6473.7657137	-5758.17383466	5303.60349994
24	-7644.61413235	-7436.6228304	6261.09804501
25	-565.838140383	2863.6391008	345.939323958
26	-134.183202288	4617.53957739	-66.7363380544
27	-1141.7774629	6628.21690902	630.976758043
28	-2185.68889291	9120.44388915	1333.97424892
29	-2168.71544623	13955.7396732	1111.35339193
2013-05-17 01:28:08.302
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.097839832	108.084530102	-214.305583201
2	528.188134264	145.866734092	-416.378741662
3	845.076640263	97.5886149414	-654.350942932
4	992.157197904	153.772595556	-766.815357243
5	425.273807463	380.702629364	-339.423010682
6	505.934083208	378.355631433	-403.29177392
7	229.725499421	486.521208905	-190.515690696
8	464.78925021	290.216112671	-368.872883031
9	529.656658815	785.167550723	-431.480529299
10	921.051618314	619.260789259	-731.64642956
11	259.378209469	752.648629772	-221.858429082
12	776.068690011	1442.47978476	-644.279798953
13	754.412957751	902.594762682	-613.192841981
14	1870.78439142	-74.815603183	-1452.36671513
15	3200.72394324	-558.215260303	-2469.61764873
16	5130.07732413	-1567.53410175	-3925.61385942
17	7011.67370859	-3345.29372888	-5316.65569612
18	8451.72110448	-5914.83548829	-6296.59275761
19	11100.8534094	-6286.74777022	-8317.42540724
20	-1388.85149324	-1518.7747915	1166.73786064
21	-2496.7113991	-2955.18539677	2115.07687889
22	-4722.76572707	-4724.88200129	3913.40851757
23	-6473.63655859	-5758.2179686	5303.71323169
24	-7644.45730445	-7436.67494641	6261.22762287
25	-565.851799113	2863.6352432	345.94891525
26	-134.215813179	4617.5386625	-66.7340633205
27	-1141.81195475	6628.20912493	630.996111908
28	-2185.72845906	9120.42898826	1334.01129754
29	-2168.79175014	13955.7248879	1111.39015315
2013-05-17 01:28:08.553
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.093470366	108.086378275	-214.310178378
2	528.18008196	145.870334944	-416.387694588
3	845.064883316	97.5943761435	-654.36526721
4	992.143151588	153.77935946	-766.832174574
5	425.265458631	380.705528606	-339.430219168
6	505.924667762	378.359080566	-403.30034962
7	229.718953248	486.522775018	-190.519584577
8	464.781019068	290.219281307	-368.88076132
9	529.643992147	785.171161572	-431.489507078
10	921.034994708	619.267068398	-731.662041602
11	259.369317718	752.650398032	-221.862825568
12	776.047935098	1442.48507548	-644.292953443
13	754.3964104	902.599905775	-613.205629434
14	1870.76028298	-74.8028493426	-1452.39842545
15	3200.68588732	-558.193439754	-2469.67190193
16	5130.02146913	-1567.49912805	-3925.70081575
17	7011.60639431	-3345.24592759	-5316.77454615
18	8451.65469729	-5914.77786958	-6296.736017
19	11100.7552834	-6286.67209137	-8317.61357019
20	-1388.82136222	-1518.78425978	1166.76140195
21	-2496.65540057	-2955.20241771	2115.11919864
22	-4722.66718098	-4724.91419803	3913.48856945
23	-6473.50740132	-5758.26210165	5303.82296125
24	-7644.30047399	-7436.72706135	6261.35719806
25	-565.865457653	2863.6313855	345.958506774
26	-134.248424024	4617.53774738	-66.7317880339
27	-1141.84644621	6628.2013406	631.015466357
28	-2185.76802448	9120.4140871	1334.04834682
29	-2168.86805331	13955.7101021	1111.42691566
2013-05-17 01:28:08.812
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.088947742	108.088291158	-214.314934446
2	528.171747396	145.874061878	-416.396960992
3	845.052714225	97.6003390768	-654.380093059
4	992.128612878	153.786360204	-766.849580767
5	425.256817188	380.708529348	-339.437680019
6	505.914922314	378.362650454	-403.309225559
7	229.712177681	486.524395945	-190.523614744
8	464.772499426	290.222560881	-368.888915439
9	529.630881579	785.174898818	-431.498799123
10	921.017788451	619.273567376	-731.678200239
11	259.360114396	752.65222817	-221.867375905
12	776.026452865	1442.49055138	-644.306568366
13	754.379283129	902.605228913	-613.218864538
14	1870.73532936	-74.7896489069	-1452.43124616
15	3200.64649716	-558.170855102	-2469.72805493
16	5129.96365572	-1567.46292962	-3925.79081718
17	7011.53671954	-3345.19645229	-5316.8975583
18	8451.58596087	-5914.71823297	-6296.88429361
19	11100.6537161	-6286.5937622	-8317.80832276
20	-1388.79017522	-1518.79405952	1166.78576739
21	-2496.59743953	-2955.22003449	2115.16299986
22	-4722.56518115	-4724.94752192	3913.5714238
23	-6473.37371738	-5758.30777977	5303.93653235
24	-7644.13814707	-7436.78100075	6261.49130949
25	-565.879594455	2863.62739257	345.968434534
26	-134.282177184	4617.53679998	-66.7294324616
27	-1141.88214551	6628.19328333	631.03549941
28	-2185.80897511	9120.39866366	1334.08669465
29	-2168.94702864	13955.6947977	1111.46496732
2013-05-17 01:28:09.062
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.084578092	108.09013927	-214.319529472
2	528.163694733	145.877662619	-416.40591364
3	845.040956705	97.6061001158	-654.394416932
4	992.114565888	153.793123913	-766.866397614
5	425.248468067	380.711428474	-339.444888216
6	505.905506524	378.366099457	-403.317800934
7	229.705631352	486.525961967	-190.5275084
8	464.764267968	290.225729402	-368.896793444
9	529.618214551	785.178509491	-431.507776465
10	921.00116422	619.279846284	-731.693811708
11	259.351222468	752.653996307	-221.871772084
12	776.005697425	1442.49584181	-644.31972214
13	754.362735266	902.610371777	-613.23165142
14	1870.71121964	-74.776895401	-1452.46295564
15	3200.60843906	-558.149035081	-2469.78230681
16	5129.90779724	-1567.4279567	-3925.87777158
17	7011.46940049	-3345.14865193	-5317.016406
18	8451.51954794	-5914.66061518	-6297.02755071
19	11100.5555825	-6286.51808472	-8317.99648232
20	-1388.76004326	-1518.80352738	1166.80930767
21	-2496.5414393	-2955.23705465	2115.20531769
22	-4722.46663186	-4724.97971729	3913.65147228
23	-6473.24455571	-5758.35191104	5304.04625746
24	-7643.98131142	-7436.83311352	6261.62087928
25	-565.893252611	2863.62353469	345.978026529
26	-134.314787938	4617.53588441	-66.7271560501
27	-1141.9166362	6628.18549853	631.054855049
28	-2185.84853904	9120.38376195	1334.1237453
29	-2169.02333034	13955.6800109	1111.50173247
2013-05-17 01:28:09.313
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.080208351	108.091987353	-214.324124424
2	528.155641894	145.881263305	-416.414866152
3	845.029198902	97.6118610747	-654.408740605
4	992.100518566	153.799887527	-766.883214223
5	425.240118803	380.714327543	-339.452096273
6	505.896090566	378.369548395	-403.326376149
7	229.699084947	486.527527944	-190.531401944
8	464.756036356	290.228897867	-368.904671309
9	529.605547346	785.182120077	-431.516753593
10	920.984539681	619.286125079	-731.709422895
11	259.342330454	752.655764382	-221.876168113
12	775.984941726	1442.50113209	-644.332875563
13	754.346187151	902.615514528	-613.244438021
14	1870.6871093	-74.7641420594	-1452.49466472
15	3200.57037989	-558.127215319	-2469.83655805
16	5129.85193704	-1567.39298415	-3925.96472504
17	7011.40207911	-3345.10085203	-5317.13525257
18	8451.45313219	-5914.60299785	-6297.17080669
19	11100.4574452	-6286.4424079	-8318.18464023
20	-1388.72991083	-1518.81299504	1166.83284744
21	-2496.48543824	-2955.25407443	2115.24763456
22	-4722.36808098	-4725.01191199	3913.73151909
23	-6473.11539188	-5758.39604142	5304.15598037
24	-7643.82447322	-7436.88522521	6261.7504464
25	-565.906910578	2863.61967671	345.987618755
26	-134.347398648	4617.53496862	-66.7248790858
27	-1141.95112651	6628.17771348	631.074211272
28	-2185.88810225	9120.36885997	1334.16079661
