delay0	delay1
-453.93	-453.93
214.29     	215.56
611.25     	611.25
496.78     	493.47
53.72      	59.96
102.71      	97.42
-220.43    	-223.33
-428.69    	-429.80
246.16     	242.74
-448.73    	-448.72
-305.30    	-316.14
-1011.91   	-1012.60
-1365.82   	-1366.28
-391.69    	-392.30
-3939.04   	-3926.01
-7878.55   	-7881.30
-14115.17  	-14113.26
-20899.19  	-20899.31
-25624.98  	-25627.92
-1451.39   	-1450.43
-4716.22   	-4716.11
-9806.41   	-9808.00
-15583.51  	-15588.96
-21909.61  	-21912.29
-29958.32  	-29955.11
-5602.37   	-5605.80
-9460.63   	-9465.57
-14164.33  	-14165.02
-19273.42  	-19273.73
-28930.89  	-28930.57
-29671.71  	-29668.49
-29671.71  	-29668.49
